Ax,Ay,Az,Vector
15820,568,4136,16361.58672
17856,-1040,6332,18973.99694
19968,-1784,14824,24933.00335
22828,-1788,4504,23336.67808
20740,-864,3148,20995.33281
19400,-988,10888,22268.46847
18480,-1156,924,18539.16158
12784,-240,5200,13803.19731
16296,-1328,352,16353.81008
18068,-1568,-664,18148.06171
17940,-1312,-1352,18038.64873
18032,-2152,3920,18578.22726
17048,-1396,-928,17130.21611
18440,-1800,1928,18627.68864
18392,-808,932,18433.31636
16724,-644,392,16740.98492
14244,-1148,632,14304.15548
18440,-2436,5864,19502.67141
17652,428,-240,17658.81899
15760,-692,3588,16178.07801
17348,-164,6108,18392.59808
15600,-228,10464,18785.82657
13356,-412,9648,16481.39509
29036,-1440,16180,33270.93771
32767,4872,32767,46594.94567
19988,-17716,7848,27838.24535
32767,-18488,-7936,38450.7806
-6460,12312,-1588,13994.23767
32767,5396,32767,46652.64616
32767,-5480,6972,33945.77254
32767,6352,32767,46772.86053
10460,4808,14600,18592.69921
15388,-5628,-12224,20442.38499
10812,-1640,-3028,11347.14625
17684,-496,5660,18574.32292
16320,-480,5600,17260.73
15572,204,4180,16124.55271
15176,-1120,2776,15468.40496
15460,-2812,6312,16933.99799
22228,196,11396,24979.81617
21612,-804,7680,22950.10588
16712,-1260,2096,16889.98993
21864,-2104,5216,22575.82707
14936,-732,2616,15181.02026
17928,-2096,4232,18539.58532
15964,-1860,1076,16107.96921
12388,-792,5948,13764.75615
12860,-472,4812,13738.91291
16120,-1232,-2744,16398.22429
17732,-1160,5772,18683.82745
18724,-1128,1076,18788.78219
18484,-1772,-600,18578.43481
13228,436,5244,14236.20792
16320,-440,3436,16683.58762
14260,-500,2200,14437.36818
15980,-2032,1632,16191.13486
19080,-1456,572,19144.02048
21064,-1612,96,21125.81019
18432,-1000,6212,19476.33354
16396,-764,9288,18859.46595
5588,1364,17200,18136.32377
32767,-13536,20856,41132.37558
17100,-22424,5656,28761.71261
-32768,-800,-32768,46347.85484
32767,-7472,32767,46938.08008
32767,3628,32767,46481.33993
-16540,2332,-32768,36779.77227
-10280,-2316,-20780,23299.15569
32767,1816,32767,46375.10576
13256,-5432,-2572,14554.8392
9064,1456,-16524,18902.87301
19284,884,8916,21263.79947
13736,-444,1716,13849.89126
16308,-304,4688,16971.17038
14084,-956,112,14116.85291
13736,-232,1852,13862.23012
18692,2956,4916,19552.38748
18876,-412,13240,23060.15438
17504,-280,5548,18364.33282
18824,-3108,3816,19456.73395
22488,412,10056,24637.43136
20824,-1152,5560,21584.24611
19288,-1232,2560,19496.11161
16468,-928,-1756,16587.33686
16692,-1336,-1880,16850.58337
18336,-1060,3684,18732.44116
16496,-1560,120,16570.03368
17760,-528,2684,17969.42514
16656,-1644,-5284,17551.23152
20196,-532,432,20207.62391
14036,-532,5592,15118.29303
14696,-564,8564,17018.59595
19524,-960,-3004,19777.06227
21324,-3276,3940,21930.99979
17320,-980,4068,17818.28903
16148,-1300,6776,17560.24146
14024,424,5448,15051.01512
32492,-5628,21624,39433.51143
32767,-11616,31672,47028.96266
32767,6500,32767,46793.18944
29844,-24280,5200,38822.9666
5284,-21924,-6380,23436.86907
32767,-7416,13624,36253.09257
3908,6372,-20952,22245.47487
26140,116,19252,32464.63553
15272,-4984,-29660,33731.14051
12396,-9604,-32768,36326.84209
18964,-1120,6368,20035.9457
16756,-284,5524,17645.36109
15156,-432,-376,15166.81694
11652,148,-3016,12036.91256
13336,260,1968,13482.9344
16040,-992,6700,17411.36594
17244,-1868,6300,18453.58935
14148,-580,-3348,14550.30611
15572,-720,7552,17321.61332
18156,-2096,-944,18300.94774
16868,-1944,-4052,17456.43904
15952,-1748,-5016,16813.15152
15960,-1640,-1996,16167.72142
15564,-1704,-6772,17058.77182
14108,-1988,3556,14684.44565
18000,-1924,228,18103.97084
17944,-1016,-2380,18129.6385
19456,-1928,-4884,20152.08615
16464,-340,7996,18306.14411
15568,-784,-1812,15692.69333
16912,-848,-3064,17208.22315
18620,-2024,5800,19607.16644
16244,-1260,7556,17959.62895
15916,-192,13020,20563.95682
13392,876,-876,13449.17901
26028,-648,-6508,26837.1152
10516,-3620,-8340,13901.30411
25424,-864,-5828,26097.73661
29208,-5588,17952,34736.25357
-16952,3916,-10192,20163.88415
29184,8992,17544,35218.65778
-8096,2412,-9808,12944.4901
8496,36,12264,14919.41715
32767,4380,30920,45264.8549
15180,-3972,-4900,16438.34493
7660,-2248,-4964,9400.553175
17076,1552,7812,18842.12897
13448,-384,664,13469.85731
13936,68,-1184,13986.37108
12312,-168,4140,12990.50299
15116,1676,2432,15401.85236
15944,860,-1952,16086.0511
16900,-3152,988,17219.79233
17864,1604,11204,21147.69321
19876,-2008,4320,20438.92952
16268,-992,-1064,16332.91107
13536,-592,3836,14081.50049
16940,-1588,80,17014.45691
15336,-2328,-4736,16218.57503
16760,-512,7608,18413.07709
16464,4,2400,16638.00805
13436,880,5612,14587.49602
16724,-916,-2696,16964.65879
16764,-1360,-5404,17665.91385
17984,-2012,-5776,18995.64624
17428,-1356,4872,18146.90894
20724,-1408,956,20793.76291
17972,-372,7892,19631.98492
15824,-96,6184,16989.70418
9816,120,-940,9861.635564
27068,-8092,15956,32446.12495
32767,3856,32767,46499.69155
-27620,13472,-5360,31194.37103
-13444,26308,1144,29566.20936
32767,-12296,32767,47943.135
-16216,10220,-17432,25909.10419
32767,4884,32767,46596.20193
22760,-1800,4164,23207.68183
10880,-1780,-3180,11474.10999
12316,828,-27380,30033.8782
19092,-376,6540,20184.58422
16760,-256,3436,17110.50064
15768,-300,-120,15771.31015
12268,-164,-3244,12690.71535
16100,-796,1848,16225.24946
22180,652,5856,22949.29716
18976,-1612,744,19058.87342
16968,-608,3520,17339.92757
17524,-2048,1392,17698.09436
18448,-1620,3796,18904.03978
18568,-312,4928,19213.35869
18688,-2320,224,18832.78843
15708,-1436,-3428,16141.70202
19464,-1288,-1628,19574.38694
16636,-540,-428,16650.26366
15528,-664,-2772,15787.45274
17584,-324,4580,18173.5641
16288,-2224,-6276,17596.40009
18888,-900,100,18909.69444
17652,-980,4004,18126.92804
16520,-908,-388,16549.48362
18224,-400,1828,18319.81878
16776,-312,6592,18027.36764
17404,-348,8936,19567.1259
15692,-1184,8180,17735.64546
-13620,3712,-9556,17047.00795
-21180,-1372,-32768,39041.21678
-5696,-14320,-32768,36211.16734
-27756,-9732,-32768,44032.36519
-31824,4684,-32768,45917.84681
32767,5064,32767,46615.41241
-11208,-16020,-32768,38157.58755
23292,188,20120,30779.32761
10348,-4312,10024,15038.45152
11936,-484,-13960,18373.45781
16424,-212,4332,16987.02281
9660,-52,-5484,11108.22038
13064,104,-492,13073.67492
20580,848,6680,21653.58871
17496,-1360,4836,18202.92592
22992,-904,2656,23162.5477
18412,-1400,5456,19254.34185
14892,-812,1240,14965.58078
14428,12,6700,15907.77571
15624,-1624,-1532,15782.70496
16532,-980,-268,16563.18955
15452,-1212,-3656,15924.81033
18572,-692,1824,18674.18068
16200,164,8176,18147.00725
16816,-824,1732,16925.03046
18224,-1172,-4052,18705.78691
17716,-1380,-3600,18130.66618
17232,-1284,8112,19089.13366
19220,-1612,7308,20625.562
18472,-856,3196,18765.97815
19036,280,11004,21989.44547
17892,-12,11472,21253.95474
15500,2668,28820,32832.31067
32767,-13908,25816,43972.4301
32767,-6384,32767,46777.21704
32767,-3324,32767,46458.60043
-32768,14016,-14948,38647.54564
32767,-11880,15892,38306.2182
32767,6548,32767,46799.88122
23568,-176,5088,24111.60185
29848,4108,20292,36325.52865
17268,-18564,-32768,41431.24116
19428,-844,6044,20363.92536
15676,564,3124,15994.20045
13228,-3184,-16,13605.81111
16620,964,4576,17265.38363
19304,-1556,3312,19647.77076
23900,-2392,7984,25311.5768
14928,1336,2492,15193.42437
14224,-1168,3948,14807.87304
18516,1228,1424,18611.2336
20456,-996,584,20488.55798
18012,-1476,1328,18121.10107
12476,-184,-2528,12730.87648
17156,-612,3940,17613.24729
15160,168,7232,16797.48934
18172,-300,9364,20444.95243
13308,-20,1200,13362.00823
18984,-552,2352,19137.10699
17588,-948,4564,18195.2341
14492,384,5560,15526.72277
18148,-1644,-3160,18494.27587
19196,-816,-2708,19403.23519
17872,-496,620,17889.62828
17152,456,8804,19284.95414
16800,120,17292,24109.49323
26956,4712,32,27364.7566
-13376,968,-32768,35406.16082
32767,-20444,1672,38657.84537
32767,7932,32767,47013.50021
32767,-1876,32767,46377.49405
5432,-5956,-9864,12738.8797
32767,10328,32767,47476.52222
32767,5780,32767,46698.61859
26684,252,7304,27666.72688
11924,488,-11884,16841.89348
16720,656,6052,17793.69102
11464,-184,-1840,11612.18119
14164,-956,1520,14277.36782
